X;LONGITUD;LATITUD;Ind_VP2;Valor_Prod
335;-5.02076595;37.80943577;0.025513763;3.337335793
336;-2.54009537;37.80977052;0.000154772;0.004121905
337;-5.24226581;37.83117536;0.017430981;1.630687578
338;-3.35042356;37.84139859;0.038799012;0.018723139
339;-3.06778027;37.84747175;0.056256418;0.145390161
340;-1.42462332;37.85237594;0.0189263;0.005467934
341;-4.31772885;37.86729904;0.033730309;6.829061193
342;-4.1843202;37.86967238;0.017360694;0.517328091
343;-6.07957572;37.87353684;0.008120793;0.053475379
344;-3.88436808;37.8739655;0.042181816;0.040071528
345;-4.03314945;37.87910806;0.001528323;0.000902145
346;-4.78032455;37.87954225;0.03142317;132.7402202
347;-4.38339381;37.89649386;0.020209621;2.372594923
348;-3.12686117;37.91218339;0.019929337;0.452290617
349;-3.00134534;37.91223066;0.020796292;0.292338484
350;-4.05446885;37.93559892;0.010916537;0.692043122
351;-4.49948242;37.94050285;0.026557791;4.03971123
352;-3.7268696;37.94123206;0.013755338;0.12148058
353;-4.21432714;37.94392635;0.028211384;0.109944936
354;-6.95381063;37.94521471;0.007354719;0.002074534
355;-2.43683434;37.96180328;0.048339182;7.194574161
356;-4.54554878;37.96233796;0.021787001;0.927466319
357;-4.45502044;37.96637631;0.017421135;0.503585308
358;-3.80877666;37.96833038;0.018028095;0.369340729
359;-3.9954969;37.97080148;0.021289793;0.107084571
360;-4.10757675;37.9742431;0.004905249;0.008553317
361;-0.78930554;37.97713811;0.001214046;7.20E-05
362;-4.29093006;37.98234127;0.029428243;0.330341557
363;-3.88204485;37.9841708;0.021079412;0.531145491
364;-1.1285408;37.98436361;0.010274613;0.020373491
365;-3.53465053;37.98511789;0.099979556;0.007117217
366;-3.4693067;37.99003004;0.027200753;0.070337449
367;-3.63681227;37.99630661;0.006082144;0.001431056
368;-3.03113181;38.00004111;0.002334745;0.007165043
369;-3.92019472;38.0053734;0.015265057;0.510274634
370;-3.3711916;38.01149823;0.022554223;0.897221805
371;-6.52882797;38.01428651;0.00213922;0.003257251
372;-3.72456521;38.01947513;0.014782866;0.227473656
373;-3.50218019;38.02281711;0.01599498;0.002776116
374;-4.52617749;38.02512572;0.004027055;0.030365176
375;-4.38130891;38.02639376;0.025282489;4.181216108
376;-3.10189147;38.02859203;0.080773692;0.021570841
377;-3.86214441;38.03224667;0.021599819;0.382272364
378;-3.28685384;38.03342782;0.036232075;0.166867925
379;-4.05408787;38.03712706;0.010800822;0.240481391
380;-1.3483366;38.03877171;0.008181134;0.000181615
381;-1.49032811;38.04203339;0.04144525;0.05487306
382;-4.17086502;38.04499845;0.005165721;0.061583404
383;-1.67033157;38.04956135;0.053548487;0.188838344
384;-3.30737858;38.06925563;0.014213951;1.507363793
385;-6.27266541;38.08759297;0.038849359;0.010664141
386;-3.63503009;38.0920657;0.021665296;0.159663081
387;-3.77583606;38.09549321;0.024087624;0.029701052
388;-1.80048338;38.09849314;0.042488654;0.182566344
389;-0.73805702;38.1047248;0.007157317;0.000395925
390;-1.86430745;38.1049406;0.045825697;20.39286459
391;-3.08623926;38.10893521;0.023251844;1.244469151
392;-2.55068654;38.11250153;0.037729648;0.008194451
393;-4.80059964;38.13442999;0.002015062;0.004075379
394;-0.88437585;38.13972138;0.006255461;0.000365052
395;-2.30224029;38.14824043;0.009154621;0.024877979
396;-5.89717958;38.15182185;0.005878598;0.027167801
397;-6.21281756;38.15403299;0.037935918;0.102586137
398;-6.65364856;38.16988677;0.00220357;0.006095238
399;-3.77426239;38.17119919;0.009085572;0.066315801
400;-3.68678524;38.18148567;0.017681574;0.014522907
401;-3.31556715;38.18386443;0.041178344;0.218537855
402;-5.94863713;38.18578669;0.025503874;0.138442518
403;-1.89190703;38.18879405;0.04700333;2.570738327
404;-5.01731472;38.18906775;0.031774122;0.155046145
405;-5.15082199;38.20045817;0.00382898;0.022103975
406;-5.97031285;38.20316929;0.01805486;0.187047859
407;-3.50741052;38.20444294;0.033368569;0.029860207
408;-5.82101098;38.21406166;0.00448031;0.00131576
409;-1.69391338;38.23115046;0.036907243;0.022975909
410;-1.42753081;38.23689373;0.082159613;0.005961913
411;-6.01526269;38.23750303;0.013273904;0.3978293
412;-6.30921689;38.24660131;0.034308759;0.829233143
413;-2.88730567;38.2506588;0.005046831;0.002944099
414;-3.20529254;38.2507004;0.042708509;0.100023975
415;-3.12877307;38.25577383;0.002518947;4.07E-05
416;-5.67527592;38.2578584;0.038923981;10.92350384
417;-5.86674807;38.26032661;0.030039196;0.121546277
418;-6.47398252;38.26634201;0.004821736;0.011936646
419;-5.41923282;38.26702154;0.033772808;4.502201043
420;-5.20945663;38.2732496;0.070600427;0.21346752
421;-5.82908706;38.28305387;0.016696321;1.005964994
422;-6.07950624;38.2928097;0.034035349;0.582530402
423;-2.6520456;38.29809816;0.069290995;0.025644282
424;-6.21035226;38.29861964;0.01972236;1.371129234
425;-5.26610998;38.29876873;0.029615145;0.12950111
426;-6.31714218;38.30038359;0.024084702;0.351885184
427;-5.5976388;38.30878083;0.03663503;5.185860762
428;-3.04258039;38.31234258;0.006942538;0.046523478
429;-2.65920392;38.31772994;0.041257006;0.037563917
430;-4.62846311;38.32241888;0.002159639;0.002838857
431;-1.98469065;38.33202632;0.013343374;0.019749234
